,date,buyStart,buyEnd,sellStart,sellEnd
0,2019-04-10,21.8510,21.9460,22.0510,22.1460
1,2019-04-09,21.8610,21.9390,22.0610,22.1390
2,2019-04-08,21.7740,21.7990,21.9740,21.9990
3,2019-04-03,21.7510,21.8320,21.9510,22.0320
4,2019-04-02,21.7960,21.7140,21.9960,21.9140
5,2019-04-01,21.8280,21.8480,22.0280,22.0480
6,2019-03-29,21.7570,21.7580,21.9570,21.9580
7,2019-03-28,21.7510,21.7750,21.9510,21.9750
8,2019-03-27,21.8470,21.8030,22.0470,22.0030
9,2019-03-26,21.8350,21.8680,22.0350,22.0680
10,2019-03-25,21.7160,21.7450,21.9160,21.9450
11,2019-03-22,21.7730,21.8080,21.9730,22.0080
12,2019-03-21,21.9380,21.9310,22.1380,22.1310
13,2019-03-20,21.6630,21.7390,21.8630,21.9390
14,2019-03-19,21.7760,21.7860,21.9760,21.9860
15,2019-03-18,21.7740,21.8430,21.9740,22.0430
16,2019-03-15,21.7580,21.7780,21.9580,21.9780
17,2019-03-14,21.7560,21.7290,21.9560,21.9290
18,2019-03-13,21.7190,21.7060,21.9190,21.9060
19,2019-03-12,21.7180,21.7380,21.9180,21.9380
20,2019-03-11,21.6090,21.6840,21.8090,21.8840
21,2019-03-08,21.5620,21.5530,21.7620,21.7530
22,2019-03-07,21.5860,21.6320,21.7860,21.8320
23,2019-03-06,21.6730,21.5960,21.8730,21.7960
24,2019-03-05,21.7310,21.7270,21.9310,21.9270
25,2019-03-04,21.7270,21.7410,21.9270,21.9410
26,2019-02-27,22.0170,21.9850,22.2170,22.1850
27,2019-02-26,21.9510,21.9130,22.1510,22.1130
28,2019-02-25,21.9480,21.9180,22.1480,22.1180
29,2019-02-23,21.8710,21.8670,22.0710,22.0670
30,2019-02-22,21.7940,21.8130,21.9940,22.0130
31,2019-02-21,22.0760,21.8450,22.2760,22.0450
32,2019-02-20,21.9500,21.9970,22.1500,22.1970
33,2019-02-19,21.8450,21.8440,22.0450,22.0440
34,2019-02-18,21.9310,21.9350,22.1310,22.1350
35,2019-02-15,21.7780,21.7560,21.9780,21.9560
36,2019-02-14,21.7740,21.8570,21.9740,22.0570
37,2019-02-13,21.7720,21.8460,21.9720,22.0460
38,2019-02-12,21.6600,21.7360,21.8600,21.9360
39,2019-02-11,21.7710,21.7680,21.9710,21.9680
40,2019-02-01,22.2200,22.1640,22.4200,22.3640
41,2019-01-31,22.2000,22.2540,22.4000,22.4540
42,2019-01-30,22.0110,22.0280,22.2110,22.2280
43,2019-01-29,21.9190,21.9850,22.1190,22.1850
