,buyEnd,buyStart,date,sellEnd,sellStart
0,4.5688,4.5662,2019-04-09,4.6128,4.6102
1,4.5647,4.5680,2019-04-08,4.6087,4.6120
2,4.5696,4.5636,2019-04-03,4.6136,4.6076
3,4.5635,4.5608,2019-04-02,4.6075,4.6048
4,4.5611,4.5697,2019-04-01,4.6051,4.6137
5,4.5582,4.5563,2019-03-29,4.6022,4.6003
6,4.5566,4.5579,2019-03-28,4.6006,4.6019
7,4.5635,4.5650,2019-03-27,4.6075,4.6090
8,4.5662,4.5680,2019-03-26,4.6102,4.6120
9,4.5652,4.5630,2019-03-25,4.6092,4.6070
10,4.5719,4.5717,2019-03-22,4.6159,4.6157
11,4.5859,4.5809,2019-03-21,4.6299,4.6249
12,4.5742,4.5629,2019-03-20,4.6182,4.6069
13,4.5675,4.5653,2019-03-19,4.6115,4.6093
14,4.5671,4.5740,2019-03-18,4.6111,4.6180
15,4.5729,4.5721,2019-03-15,4.6169,4.6161
16,4.5738,4.5829,2019-03-14,4.6178,4.6269
17,4.5763,4.5825,2019-03-13,4.6203,4.6265
18,4.5760,4.5695,2019-03-12,4.6200,4.6135
19,4.5681,4.5652,2019-03-11,4.6121,4.6092
20,4.5657,4.5655,2019-03-08,4.6097,4.6095
21,4.5741,4.5703,2019-03-07,4.6181,4.6143
22,4.5688,4.5767,2019-03-06,4.6128,4.6207
23,4.5777,4.5743,2019-03-05,4.6217,4.6183
24,4.5807,4.5734,2019-03-04,4.6247,4.6174
25,4.5801,4.5825,2019-02-27,4.6241,4.6265
26,4.5743,4.5806,2019-02-26,4.6183,4.6246
27,4.5749,4.5848,2019-02-25,4.6189,4.6288
28,4.5710,4.5721,2019-02-23,4.6150,4.6161
29,4.5631,4.5614,2019-02-22,4.6071,4.6054
30,4.5724,4.5681,2019-02-21,4.6164,4.6121
31,4.5629,4.5464,2019-02-20,4.6069,4.5904
32,4.5288,4.5265,2019-02-19,4.5728,4.5705
33,4.5301,4.5317,2019-02-18,4.5741,4.5757
34,4.5180,4.5240,2019-02-15,4.5620,4.5680
35,4.5268,4.5229,2019-02-14,4.5708,4.5669
36,4.5314,4.5272,2019-02-13,4.5754,4.5712
37,4.5199,4.5078,2019-02-12,4.5639,4.5518
38,4.5169,4.5286,2019-02-11,4.5609,4.5726
39,4.5347,4.5560,2019-02-01,4.5787,4.6000
40,4.5542,4.5602,2019-01-31,4.5982,4.6042
41,4.5484,4.5450,2019-01-30,4.5924,4.5890
42,4.5428,4.5362,2019-01-29,4.5868,4.5802
43,4.5375,4.5364,2019-01-28,4.5815,4.5804
44,4.5265,4.5215,2019-01-25,4.5705,4.5655
45,4.5175,4.5250,2019-01-24,4.5615,4.5690
46,4.5199,4.5092,2019-01-23,4.5639,4.5532
47,4.5079,4.5144,2019-01-22,4.5519,4.5584
48,4.5150,4.5156,2019-01-21,4.5590,4.5596
49,4.5103,4.5102,2019-01-19,4.5543,4.5542
50,4.5258,4.5266,2019-01-18,4.5698,4.5706
51,4.5287,4.5411,2019-01-17,4.5727,4.5851
52,4.5335,4.5325,2019-01-16,4.5775,4.5765
53,4.5375,4.5413,2019-01-15,4.5815,4.5853
54,4.5338,4.5314,2019-01-14,4.5778,4.5754
55,4.5427,4.5088,2019-01-11,4.5867,4.5528
56,4.5086,4.4923,2019-01-10,4.5526,4.5363
57,4.4840,4.4764,2019-01-09,4.5280,4.5204
58,4.4680,4.4750,2019-01-08,4.5120,4.5190
59,4.4771,4.4688,2019-01-07,4.5211,4.5128
60,4.4667,4.4661,2019-01-04,4.5107,4.5101
61,4.4628,4.4602,2019-01-03,4.5068,4.5042
62,4.4613,4.4417,2019-01-02,4.5053,4.4857
63,4.4491,4.4568,2018-12-28,4.4931,4.5008
64,4.4444,4.4482,2018-12-27,4.4884,4.4922
65,4.4494,4.4468,2018-12-26,4.4934,4.4908
66,4.4467,4.4443,2018-12-25,4.4907,4.4883
67,4.4437,4.4352,2018-12-24,4.4877,4.4792
68,4.4292,4.4257,2018-12-22,4.4732,4.4697
69,4.4372,4.4475,2018-12-21,4.4812,4.4915
70,4.4450,4.4440,2018-12-20,4.4890,4.4880
71,4.4446,4.4535,2018-12-19,4.4886,4.4975
72,4.4530,4.4499,2018-12-18,4.4970,4.4939
73,4.4525,4.4526,2018-12-17,4.4965,4.4966
74,4.4517,4.4608,2018-12-14,4.4957,4.5048
75,4.4721,4.4653,2018-12-13,4.5161,4.5093
76,4.4584,4.4582,2018-12-12,4.5024,4.5022
77,4.4508,4.4405,2018-12-11,4.4948,4.4845
78,4.4451,4.4554,2018-12-10,4.4891,4.4994
79,4.4563,4.4593,2018-12-07,4.5003,4.5033
80,4.4587,4.4633,2018-12-06,4.5027,4.5073
81,4.4637,4.4649,2018-12-05,4.5077,4.5089
82,4.4633,4.4490,2018-12-04,4.5073,4.4930
83,4.4423,4.4273,2018-12-03,4.4863,4.4713
84,4.4181,4.4180,2018-11-30,4.4621,4.4620
85,4.4217,4.4249,2018-11-29,4.4657,4.4689
86,4.4217,4.4210,2018-11-28,4.4657,4.4650
87,4.4249,4.4255,2018-11-27,4.4689,4.4695
88,4.4320,4.4277,2018-11-26,4.4760,4.4717
89,4.4315,4.4344,2018-11-23,4.4755,4.4784
90,4.4378,4.4343,2018-11-22,4.4818,4.4783
91,4.4328,4.4317,2018-11-21,4.4768,4.4757
92,4.4339,4.4304,2018-11-20,4.4779,4.4744
93,4.4322,4.4322,2018-11-19,4.4762,4.4762
94,4.4293,4.4287,2018-11-16,4.4733,4.4727
95,4.4300,4.4258,2018-11-15,4.4740,4.4698
96,4.4276,4.4198,2018-11-14,4.4716,4.4638
97,4.4232,4.4179,2018-11-13,4.4672,4.4619
98,4.4108,4.4125,2018-11-12,4.4548,4.4565
99,4.4141,4.4083,2018-11-09,4.4581,4.4523
100,4.4102,4.4116,2018-11-08,4.4542,4.4556
101,4.4193,4.4199,2018-11-07,4.4633,4.4639
102,4.4257,4.4220,2018-11-06,4.4697,4.4660
103,4.4219,4.4339,2018-11-05,4.4659,4.4779
104,4.4396,4.4256,2018-11-02,4.4836,4.4696
105,4.4238,4.4138,2018-11-01,4.4678,4.4578
106,4.4155,4.4201,2018-10-31,4.4595,4.4641
107,4.4222,4.4200,2018-10-30,4.4662,4.4640
108,4.4296,4.4318,2018-10-29,4.4736,4.4758
109,4.4308,4.4293,2018-10-26,4.4748,4.4733
110,4.4292,4.4390,2018-10-25,4.4732,4.4830
111,4.4306,4.4356,2018-10-24,4.4746,4.4796
112,4.4371,4.4345,2018-10-23,4.4811,4.4785
113,4.4326,4.4402,2018-10-22,4.4766,4.4842
114,4.4428,4.4388,2018-10-19,4.4868,4.4828
115,4.4384,4.4345,2018-10-18,4.4824,4.4785
116,4.4353,4.4407,2018-10-17,4.4793,4.4847
117,4.4476,4.4417,2018-10-16,4.4916,4.4857
118,4.4427,4.4424,2018-10-15,4.4867,4.4864
119,4.4455,4.4803,2018-10-12,4.4895,4.5243
120,4.4643,4.4550,2018-10-11,4.5083,4.4990
121,4.4496,4.4442,2018-10-09,4.4936,4.4882
122,4.4449,4.4466,2018-10-08,4.4889,4.4906
123,4.4437,4.4418,2018-10-05,4.4877,4.4858
124,4.4431,4.4309,2018-10-04,4.4871,4.4749
125,4.4294,4.4322,2018-10-03,4.4734,4.4762
126,4.4309,4.4148,2018-10-02,4.4749,4.4588
127,4.4148,4.4137,2018-10-01,4.4588,4.4577
128,4.4175,4.4204,2018-09-28,4.4615,4.4644
129,4.4255,4.4395,2018-09-27,4.4695,4.4835
130,4.4409,4.4448,2018-09-26,4.4849,4.4888
131,4.4426,4.4507,2018-09-25,4.4866,4.4947
132,4.4694,4.4787,2018-09-21,4.5134,4.5227
133,4.4714,4.4659,2018-09-20,4.5154,4.5099
134,4.4720,4.4644,2018-09-19,4.5160,4.5084
135,4.4610,4.4538,2018-09-18,4.5050,4.4978
136,4.4590,4.4522,2018-09-17,4.5030,4.4962
137,4.4703,4.4747,2018-09-14,4.5143,4.5187
138,4.4729,4.4794,2018-09-13,4.5169,4.5234
139,4.4579,4.4564,2018-09-12,4.5019,4.5004
140,4.4618,4.4621,2018-09-11,4.5058,4.5061
141,4.4638,4.4645,2018-09-10,4.5078,4.5085
142,4.4700,4.4817,2018-09-07,4.5140,4.5257
143,4.4794,4.4751,2018-09-06,4.5234,4.5191
144,4.4669,4.4671,2018-09-05,4.5109,4.5111
145,4.4711,4.4718,2018-09-04,4.5151,4.5158
146,4.4730,4.4634,2018-09-03,4.5170,4.5074
147,4.4676,4.4535,2018-08-31,4.5116,4.4975
148,4.4642,4.4794,2018-08-30,4.5082,4.5234
149,4.4776,4.4956,2018-08-29,4.5216,4.5396
150,4.4933,4.4959,2018-08-28,4.5373,4.5399
151,4.4986,4.4914,2018-08-27,4.5426,4.5354
152,4.4516,4.4541,2018-08-24,4.4956,4.4981
153,4.4570,4.4554,2018-08-23,4.5010,4.4994
154,4.4653,4.4723,2018-08-22,4.5093,4.5163
155,4.4749,4.4758,2018-08-21,4.5189,4.5198
156,4.4755,4.4708,2018-08-20,4.5195,4.5148
157,4.4681,4.4623,2018-08-17,4.5121,4.5063
158,4.4494,4.4198,2018-08-16,4.4934,4.4638
159,4.4362,4.4384,2018-08-15,4.4802,4.4824
160,4.4522,4.4466,2018-08-14,4.4962,4.4906
161,4.4492,4.4487,2018-08-13,4.4932,4.4927
162,4.4494,4.4549,2018-08-10,4.4934,4.4989
163,4.4616,4.4609,2018-08-09,4.5056,4.5049
164,4.4599,4.4630,2018-08-08,4.5039,4.5070
165,4.4480,4.4422,2018-08-07,4.4920,4.4862
166,4.4439,4.4589,2018-08-06,4.4879,4.5029
167,4.4267,4.4434,2018-08-03,4.4707,4.4874
168,4.4621,4.4618,2018-08-02,4.5061,4.5058
169,4.4635,4.4625,2018-08-01,4.5075,4.5065
170,4.4518,4.4561,2018-07-31,4.4958,4.5001
171,4.4560,4.4566,2018-07-30,4.5000,4.5006
172,4.4626,4.4564,2018-07-27,4.5066,4.5004
173,4.4783,4.4969,2018-07-26,4.5223,4.5409
174,4.4850,4.4791,2018-07-25,4.5290,4.5231
175,4.4751,4.4683,2018-07-24,4.5191,4.5123
176,4.4908,4.5018,2018-07-23,4.5348,4.5458
177,4.4967,4.4945,2018-07-20,4.5407,4.5385
178,4.4880,4.5117,2018-07-19,4.5320,4.5557
179,4.5063,4.5206,2018-07-18,4.5503,4.5646
180,4.5342,4.5369,2018-07-17,4.5782,4.5809
181,4.5382,4.5353,2018-07-16,4.5822,4.5793
182,4.5332,4.5483,2018-07-13,4.5772,4.5923
183,4.5450,4.5238,2018-07-12,4.5890,4.5678
184,4.5393,4.5362,2018-07-11,4.5833,4.5802
185,4.5646,4.5747,2018-07-10,4.6086,4.6187
186,4.5639,4.5542,2018-07-09,4.6079,4.5982
187,4.5564,4.5624,2018-07-06,4.6004,4.6064
188,4.5739,4.5688,2018-07-05,4.6179,4.6128
189,4.5777,4.5666,2018-07-04,4.6217,4.6106
190,4.5610,4.5412,2018-07-03,4.6050,4.5852
191,4.5552,4.5724,2018-07-02,4.5992,4.6164
192,4.5736,4.5829,2018-06-29,4.6176,4.6269
193,4.5944,4.5825,2018-06-28,4.6384,4.6265
194,4.5889,4.6023,2018-06-27,4.6329,4.6463
195,4.6139,4.6231,2018-06-26,4.6579,4.6671
196,4.6243,4.6259,2018-06-25,4.6683,4.6699
197,4.6375,4.6384,2018-06-22,4.6815,4.6824
198,4.6288,4.6332,2018-06-21,4.6728,4.6772
199,4.6311,4.6336,2018-06-20,4.6751,4.6776
200,4.6400,4.6350,2018-06-19,4.6840,4.6790
201,4.6483,4.6463,2018-06-15,4.6923,4.6903
202,4.6657,4.6530,2018-06-14,4.7097,4.6970
203,4.6456,4.6383,2018-06-13,4.6896,4.6823
204,4.6440,4.6370,2018-06-12,4.6880,4.6810
205,4.6374,4.6364,2018-06-11,4.6814,4.6804
206,4.6314,4.6329,2018-06-08,4.6754,4.6769
207,4.6333,4.6321,2018-06-07,4.6773,4.6761
208,4.6326,4.6390,2018-06-06,4.6766,4.6830
