,date,buyStart,buyEnd,sellStart,sellEnd
0,2019-04-10,40.0340,40.0960,40.4340,40.4960
1,2019-04-09,40.0740,40.0850,40.4740,40.4850
2,2019-04-08,40.0170,40.0670,40.4170,40.4670
3,2019-04-03,40.2300,40.4250,40.6300,40.8250
4,2019-04-02,40.0520,40.0610,40.4520,40.4610
5,2019-04-01,39.9010,40.0220,40.3010,40.4220
6,2019-03-29,40.0710,39.9380,40.4710,40.3380
7,2019-03-28,40.4710,40.3460,40.8710,40.7460
8,2019-03-27,40.4930,40.5090,40.8930,40.9090
9,2019-03-26,40.4770,40.4580,40.8770,40.8580
10,2019-03-25,40.4940,40.4520,40.8940,40.8520
11,2019-03-22,40.2160,40.2870,40.6160,40.6870
12,2019-03-21,40.4590,40.3990,40.8590,40.7990
13,2019-03-20,40.6520,40.5810,41.0520,40.9810
14,2019-03-19,40.6790,40.7040,41.0790,41.1040
15,2019-03-18,40.8240,40.7750,41.2240,41.1750
16,2019-03-15,40.7070,40.6230,41.1070,41.0230
17,2019-03-14,40.8290,40.8970,41.2290,41.2970
18,2019-03-13,40.1780,40.4090,40.5780,40.8090
19,2019-03-12,40.6320,40.6910,41.0320,41.0910
20,2019-03-11,39.8590,39.9940,40.2590,40.3940
21,2019-03-08,40.2290,40.2590,40.6290,40.6590
22,2019-03-07,40.4400,40.4490,40.8400,40.8490
23,2019-03-06,40.3390,40.3140,40.7390,40.7140
24,2019-03-05,40.4200,40.4440,40.8200,40.8440
25,2019-03-04,40.5670,40.6210,40.9670,41.0210
26,2019-02-27,40.6080,40.6510,41.0080,41.0510
27,2019-02-26,40.2000,40.2530,40.6000,40.6530
28,2019-02-25,40.0520,40.0500,40.4520,40.4500
29,2019-02-23,40.0290,40.0220,40.4290,40.4220
30,2019-02-22,39.9930,39.9870,40.3930,40.3870
31,2019-02-21,40.0070,40.0500,40.4070,40.4500
32,2019-02-20,40.0450,40.0060,40.4450,40.4060
33,2019-02-19,39.6200,39.6430,40.0200,40.0430
34,2019-02-18,39.5850,39.5830,39.9850,39.9830
35,2019-02-15,39.2550,39.3200,39.6550,39.7200
36,2019-02-14,39.4270,39.4040,39.8270,39.8040
37,2019-02-13,39.5050,39.5430,39.9050,39.9430
38,2019-02-12,39.4520,39.4870,39.8520,39.8870
39,2019-02-11,39.6440,39.5820,40.0440,39.9820
40,2019-02-01,40.0790,40.0780,40.4790,40.4780
41,2019-01-31,40.0910,40.1670,40.4910,40.5670
42,2019-01-30,40.1030,40.0000,40.5030,40.4000
43,2019-01-29,40.2990,40.3030,40.6990,40.7030
44,2019-01-28,40.4280,40.3190,40.8280,40.7190
45,2019-01-25,40.2640,40.1530,40.6640,40.5530
46,2019-01-24,40.1800,40.0510,40.5800,40.4510
47,2019-01-23,39.8140,39.8020,40.2140,40.2020
48,2019-01-22,39.5770,39.5370,39.9770,39.9370
49,2019-01-21,39.4640,39.4890,39.8640,39.8890
50,2019-01-19,39.4770,39.4930,39.8770,39.8930
51,2019-01-18,39.8140,39.7450,40.2140,40.1450
52,2019-01-17,39.5260,39.4450,39.9260,39.8450
53,2019-01-16,39.4440,39.4840,39.8440,39.8840
54,2019-01-15,39.5290,39.4960,39.9290,39.8960
55,2019-01-14,39.3930,39.3810,39.7930,39.7810
56,2019-01-11,39.0360,39.0920,39.4360,39.4920
57,2019-01-10,39.1530,39.0890,39.5530,39.4890
58,2019-01-09,39.0640,39.0350,39.4640,39.4350
59,2019-01-08,39.1430,39.1380,39.5430,39.5380
60,2019-01-07,39.0540,39.0520,39.4540,39.4520
61,2019-01-04,38.8180,38.8720,39.2180,39.2720
62,2019-01-03,38.5040,38.5710,38.9040,38.9710
63,2019-01-02,38.9020,39.0470,39.3020,39.4470
64,2018-12-28,38.7370,38.6670,39.1370,39.0670
65,2018-12-27,38.8020,38.7850,39.2020,39.1850
66,2018-12-26,38.9180,38.9520,39.3180,39.3520
67,2018-12-25,39.0100,38.8700,39.4100,39.2700
68,2018-12-24,38.8170,38.8350,39.2170,39.2350
69,2018-12-22,38.7850,38.8110,39.1850,39.2110
70,2018-12-21,38.8140,38.8580,39.2140,39.2580
71,2018-12-20,38.7140,38.8230,39.1140,39.2230
72,2018-12-19,38.8320,38.8230,39.2320,39.2230
73,2018-12-18,38.7120,38.8720,39.1120,39.2720
74,2018-12-17,38.6490,38.6620,39.0490,39.0620
75,2018-12-14,38.7910,38.7160,39.1910,39.1160
76,2018-12-13,38.6970,38.8090,39.0970,39.2090
77,2018-12-12,38.3670,38.3610,38.7670,38.7610
78,2018-12-11,38.5880,38.6710,38.9880,39.0710
79,2018-12-10,39.0960,39.1360,39.4960,39.5360
80,2018-12-07,39.1930,39.1450,39.5930,39.5450
81,2018-12-06,38.9980,39.0050,39.3980,39.4050
82,2018-12-05,38.9060,38.9540,39.3060,39.3540
83,2018-12-04,38.9410,38.8770,39.3410,39.2770
84,2018-12-03,39.0790,39.2140,39.4790,39.6140
85,2018-11-30,39.1810,39.1840,39.5810,39.5840
86,2018-11-29,39.3670,39.3470,39.7670,39.7470
87,2018-11-28,39.1550,39.2030,39.5550,39.6030
88,2018-11-27,39.3890,39.1600,39.7890,39.5600
89,2018-11-26,39.3830,39.4300,39.7830,39.8300
