,buyEnd,buyStart,date,sellEnd,sellStart
0,0.2751,0.2747,2019-04-09,0.2791,0.2787
1,0.2747,0.2745,2019-04-08,0.2787,0.2785
2,0.2742,0.2743,2019-04-03,0.2782,0.2783
3,0.2749,0.2744,2019-04-02,0.2789,0.2784
4,0.2754,0.2753,2019-04-01,0.2794,0.2793
5,0.2762,0.2761,2019-03-29,0.2802,0.2801
6,0.2781,0.2778,2019-03-28,0.2821,0.2818
7,0.2770,0.2769,2019-03-27,0.2810,0.2809
8,0.2778,0.2777,2019-03-26,0.2818,0.2817
9,0.2780,0.2790,2019-03-25,0.2820,0.2830
10,0.2760,0.2761,2019-03-22,0.2800,0.2801
11,0.2771,0.2759,2019-03-21,0.2811,0.2799
12,0.2742,0.2741,2019-03-20,0.2782,0.2781
13,0.2750,0.2749,2019-03-19,0.2790,0.2789
14,0.2744,0.2747,2019-03-18,0.2784,0.2787
15,0.2744,0.2742,2019-03-15,0.2784,0.2782
16,0.2746,0.2757,2019-03-14,0.2786,0.2797
17,0.2754,0.2754,2019-03-13,0.2794,0.2794
18,0.2755,0.2751,2019-03-12,0.2795,0.2791
19,0.2758,0.2766,2019-03-11,0.2798,0.2806
20,0.2762,0.2750,2019-03-08,0.2802,0.2790
21,0.2741,0.2742,2019-03-07,0.2781,0.2782
22,0.2738,0.2738,2019-03-06,0.2778,0.2778
23,0.2735,0.2737,2019-03-05,0.2775,0.2777
24,0.2735,0.2731,2019-03-04,0.2775,0.2771
25,0.2767,0.2764,2019-02-27,0.2807,0.2804
26,0.2757,0.2752,2019-02-26,0.2797,0.2792
27,0.2762,0.2761,2019-02-25,0.2802,0.2801
28,0.2764,0.2765,2019-02-23,0.2804,0.2805
29,0.2763,0.2763,2019-02-22,0.2803,0.2803
30,0.2764,0.2765,2019-02-21,0.2804,0.2805
31,0.2759,0.2761,2019-02-20,0.2799,0.2801
32,0.2767,0.2770,2019-02-19,0.2807,0.2810
33,0.2768,0.2768,2019-02-18,0.2808,0.2808
34,0.2775,0.2773,2019-02-15,0.2815,0.2813
35,0.2755,0.2759,2019-02-14,0.2795,0.2799
36,0.2764,0.2766,2019-02-13,0.2804,0.2806
37,0.2768,0.2769,2019-02-12,0.2808,0.2809
38,0.2780,0.2784,2019-02-11,0.2820,0.2824
39,0.2801,0.2803,2019-02-01,0.2841,0.2843
40,0.2806,0.2799,2019-01-31,0.2846,0.2839
41,0.2793,0.2796,2019-01-30,0.2833,0.2836
42,0.2800,0.2802,2019-01-29,0.2840,0.2842
43,0.2793,0.2795,2019-01-28,0.2833,0.2835
44,0.2788,0.2793,2019-01-25,0.2828,0.2833
45,0.2795,0.2799,2019-01-24,0.2835,0.2839
46,0.2797,0.2802,2019-01-23,0.2837,0.2842
47,0.2803,0.2795,2019-01-22,0.2843,0.2835
48,0.2794,0.2794,2019-01-21,0.2834,0.2834
49,0.2794,0.2787,2019-01-19,0.2834,0.2827
50,0.2798,0.2801,2019-01-18,0.2838,0.2841
51,0.2815,0.2811,2019-01-17,0.2855,0.2851
52,0.2817,0.2824,2019-01-16,0.2857,0.2864
53,0.2815,0.2826,2019-01-15,0.2855,0.2866
54,0.2832,0.2820,2019-01-14,0.2872,0.2860
55,0.2823,0.2818,2019-01-11,0.2863,0.2858
56,0.2833,0.2829,2019-01-10,0.2873,0.2869
57,0.2810,0.2815,2019-01-09,0.2850,0.2855
58,0.2810,0.2812,2019-01-08,0.2850,0.2852
59,0.2829,0.2821,2019-01-07,0.2869,0.2861
60,0.2838,0.2850,2019-01-04,0.2878,0.2890
61,0.2849,0.2844,2019-01-03,0.2889,0.2884
62,0.2799,0.2778,2019-01-02,0.2839,0.2818
63,0.2762,0.2757,2018-12-28,0.2802,0.2797
64,0.2758,0.2756,2018-12-27,0.2798,0.2796
65,0.2771,0.2766,2018-12-26,0.2811,0.2806
66,0.2773,0.2780,2018-12-25,0.2813,0.2820
67,0.2757,0.2756,2018-12-24,0.2797,0.2796
68,0.2751,0.2749,2018-12-22,0.2791,0.2789
69,0.2749,0.2749,2018-12-21,0.2789,0.2789
70,0.2735,0.2720,2018-12-20,0.2775,0.2760
71,0.2721,0.2722,2018-12-19,0.2761,0.2762
72,0.2723,0.2716,2018-12-18,0.2763,0.2756
73,0.2701,0.2702,2018-12-17,0.2741,0.2742
74,0.2696,0.2698,2018-12-14,0.2736,0.2738
75,0.2699,0.2699,2018-12-13,0.2739,0.2739
76,0.2701,0.2698,2018-12-12,0.2741,0.2738
77,0.2711,0.2710,2018-12-11,0.2751,0.2750
78,0.2720,0.2725,2018-12-10,0.2760,0.2765
79,0.2714,0.2715,2018-12-07,0.2754,0.2755
80,0.2708,0.2709,2018-12-06,0.2748,0.2749
81,0.2704,0.2706,2018-12-05,0.2744,0.2746
82,0.2694,0.2689,2018-12-04,0.2734,0.2729
83,0.2689,0.2690,2018-12-03,0.2729,0.2730
84,0.2697,0.2696,2018-11-30,0.2737,0.2736
85,0.2701,0.2697,2018-11-29,0.2741,0.2737
86,0.2694,0.2695,2018-11-28,0.2734,0.2735
87,0.2700,0.2704,2018-11-27,0.2740,0.2744
88,0.2706,0.2715,2018-11-26,0.2746,0.2755
89,0.2718,0.2712,2018-11-23,0.2758,0.2752
90,0.2713,0.2709,2018-11-22,0.2753,0.2749
91,0.2717,0.2723,2018-11-21,0.2757,0.2763
92,0.2728,0.2724,2018-11-20,0.2768,0.2764
93,0.2719,0.2717,2018-11-19,0.2759,0.2757
94,0.2706,0.2693,2018-11-16,0.2746,0.2733
95,0.2698,0.2698,2018-11-15,0.2738,0.2738
96,0.2694,0.2689,2018-11-14,0.2734,0.2729
97,0.2687,0.2701,2018-11-13,0.2727,0.2741
98,0.2685,0.2683,2018-11-12,0.2725,0.2723
99,0.2686,0.2677,2018-11-09,0.2726,0.2717
100,0.2680,0.2682,2018-11-08,0.2720,0.2722
101,0.2698,0.2695,2018-11-07,0.2738,0.2735
102,0.2696,0.2692,2018-11-06,0.2736,0.2732
103,0.2698,0.2694,2018-11-05,0.2738,0.2734
104,0.2700,0.2710,2018-11-02,0.2740,0.2750
105,0.2718,0.2724,2018-11-01,0.2758,0.2764
106,0.2717,0.2716,2018-10-31,0.2757,0.2756
107,0.2725,0.2731,2018-10-30,0.2765,0.2771
108,0.2748,0.2747,2018-10-29,0.2788,0.2787
109,0.2747,0.2734,2018-10-26,0.2787,0.2774
110,0.2738,0.2748,2018-10-25,0.2778,0.2788
111,0.2730,0.2732,2018-10-24,0.2770,0.2772
112,0.2737,0.2726,2018-10-23,0.2777,0.2766
113,0.2723,0.2734,2018-10-22,0.2763,0.2774
114,0.2733,0.2738,2018-10-19,0.2773,0.2778
115,0.2730,0.2721,2018-10-18,0.2770,0.2761
116,0.2729,0.2726,2018-10-17,0.2769,0.2766
117,0.2737,0.2741,2018-10-16,0.2777,0.2781
118,0.2746,0.2740,2018-10-15,0.2786,0.2780
119,0.2729,0.2747,2018-10-12,0.2769,0.2787
120,0.2750,0.2744,2018-10-11,0.2790,0.2784
121,0.2715,0.2716,2018-10-09,0.2755,0.2756
122,0.2699,0.2690,2018-10-08,0.2739,0.2730
123,0.2689,0.2680,2018-10-05,0.2729,0.2720
124,0.2673,0.2666,2018-10-04,0.2713,0.2706
125,0.2672,0.2680,2018-10-03,0.2712,0.2720
126,0.2674,0.2661,2018-10-02,0.2714,0.2701
127,0.2658,0.2661,2018-10-01,0.2698,0.2701
128,0.2673,0.2676,2018-09-28,0.2713,0.2716
129,0.2696,0.2699,2018-09-27,0.2736,0.2739
130,0.2699,0.2695,2018-09-26,0.2739,0.2735
131,0.2695,0.2698,2018-09-25,0.2735,0.2738
132,0.2703,0.2712,2018-09-21,0.2743,0.2752
133,0.2723,0.2719,2018-09-20,0.2763,0.2759
134,0.2719,0.2724,2018-09-19,0.2759,0.2764
135,0.2732,0.2737,2018-09-18,0.2772,0.2777
136,0.2732,0.2726,2018-09-17,0.2772,0.2766
137,0.2729,0.2726,2018-09-14,0.2769,0.2766
138,0.2743,0.2742,2018-09-13,0.2783,0.2782
139,0.2745,0.2742,2018-09-12,0.2785,0.2782
140,0.2743,0.2746,2018-09-11,0.2783,0.2786
