,buyEnd,buyStart,date,sellEnd,sellStart
0,20.7190,20.6850,2019-04-09,20.9190,20.8850
1,20.6700,20.6420,2019-04-08,20.8700,20.8420
2,20.8110,20.7350,2019-04-03,21.0110,20.9350
3,20.7860,20.8070,2019-04-02,20.9860,21.0070
4,20.9330,20.9120,2019-04-01,21.1330,21.1120
5,20.8520,20.8240,2019-03-29,21.0520,21.0240
6,20.9160,20.8560,2019-03-28,21.1160,21.0560
7,20.8880,20.9730,2019-03-27,21.0880,21.1730
8,21.1690,21.2140,2019-03-26,21.3690,21.4140
9,21.1120,21.1190,2019-03-25,21.3120,21.3190
10,21.1330,21.1000,2019-03-22,21.3330,21.3000
11,21.2440,21.2120,2019-03-21,21.4440,21.4120
12,20.9810,20.9620,2019-03-20,21.1810,21.1620
13,21.0490,20.9870,2019-03-19,21.2490,21.1870
14,21.0790,21.0300,2019-03-18,21.2790,21.2300
15,21.0620,21.0360,2019-03-15,21.2620,21.2360
16,21.0280,21.0550,2019-03-14,21.2280,21.2550
17,21.0250,21.0690,2019-03-13,21.2250,21.2690
18,21.0410,20.9920,2019-03-12,21.2410,21.1920
19,20.9550,20.8860,2019-03-11,21.1550,21.0860
20,20.7810,20.7730,2019-03-08,20.9810,20.9730
21,20.8270,20.7980,2019-03-07,21.0270,20.9980
22,20.8070,20.8270,2019-03-06,21.0070,21.0270
23,20.8510,20.9150,2019-03-05,21.0510,21.1150
24,20.8930,20.8750,2019-03-04,21.0930,21.0750
25,21.1030,21.1260,2019-02-27,21.3030,21.3260
26,21.0790,21.0770,2019-02-26,21.2790,21.2770
27,21.0490,21.0820,2019-02-25,21.2490,21.2820
28,20.9740,20.9770,2019-02-23,21.1740,21.1770
29,20.8300,20.8890,2019-02-22,21.0300,21.0890
30,20.9490,21.0570,2019-02-21,21.1490,21.2570
31,21.0800,21.0770,2019-02-20,21.2800,21.2770
32,20.9470,21.0050,2019-02-19,21.1470,21.2050
33,21.0670,21.1020,2019-02-18,21.2670,21.3020
34,20.9450,20.9230,2019-02-15,21.1450,21.1230
35,20.9680,20.8950,2019-02-14,21.1680,21.0950
36,20.9410,20.8310,2019-02-13,21.1410,21.0310
37,20.6530,20.6190,2019-02-12,20.8530,20.8190
38,20.7310,20.7440,2019-02-11,20.9310,20.9440
39,21.1380,21.1510,2019-02-01,21.3380,21.3510
40,21.1550,21.1200,2019-01-31,21.3550,21.3200
41,20.9410,20.9220,2019-01-30,21.1410,21.1220
42,21.0280,20.9320,2019-01-29,21.2280,21.1320
43,20.9690,20.9510,2019-01-28,21.1690,21.1510
44,20.7820,20.7650,2019-01-25,20.9820,20.9650
45,20.8250,20.8780,2019-01-24,21.0250,21.0780
46,20.8450,20.7860,2019-01-23,21.0450,20.9860
47,20.6560,20.6500,2019-01-22,20.8560,20.8500
48,20.6690,20.6770,2019-01-21,20.8690,20.8770
49,20.6910,20.7100,2019-01-19,20.8910,20.9100
50,20.7680,20.7460,2019-01-18,20.9680,20.9460
51,20.6750,20.8000,2019-01-17,20.8750,21.0000
52,20.9270,20.9380,2019-01-16,21.1270,21.1380
53,20.9870,20.9690,2019-01-15,21.1870,21.1690
54,20.8820,20.9270,2019-01-14,21.0820,21.1270
55,20.9270,20.7830,2019-01-11,21.1270,20.9830
56,20.7820,20.7880,2019-01-10,20.9820,20.9880
57,20.7020,20.6800,2019-01-09,20.9020,20.8800
58,20.6720,20.6720,2019-01-08,20.8720,20.8720
59,20.7120,20.6500,2019-01-07,20.9120,20.8500
60,20.5550,20.5300,2019-01-04,20.7550,20.7300
61,20.4170,20.3240,2019-01-03,20.6170,20.5240
62,20.5480,20.4840,2019-01-02,20.7480,20.6840
63,20.5000,20.5550,2018-12-28,20.7000,20.7550
64,20.5580,20.6440,2018-12-27,20.7580,20.8440
65,20.6600,20.6460,2018-12-26,20.8600,20.8460
66,20.6800,20.6710,2018-12-25,20.8800,20.8710
67,20.6780,20.6440,2018-12-24,20.8780,20.8440
68,20.5960,20.6000,2018-12-22,20.7960,20.8000
69,20.7150,20.7690,2018-12-21,20.9150,20.9690
70,20.6910,20.7930,2018-12-20,20.8910,20.9930
71,21.0460,21.0260,2018-12-19,21.2460,21.2260
72,21.0790,20.9550,2018-12-18,21.2790,21.1550
73,20.9080,20.8700,2018-12-17,21.1080,21.0700
74,20.8680,20.9990,2018-12-14,21.0680,21.1990
75,21.0980,21.0270,2018-12-13,21.2980,21.2270
76,21.0790,21.1560,2018-12-12,21.2790,21.3560
77,21.1070,21.1240,2018-12-11,21.3070,21.3240
78,21.1650,21.0890,2018-12-10,21.3650,21.2890
79,21.1050,21.1120,2018-12-07,21.3050,21.3120
80,21.0980,21.1050,2018-12-06,21.2980,21.3050
81,21.2330,21.2550,2018-12-05,21.4330,21.4550
82,21.2570,21.2200,2018-12-04,21.4570,21.4200
83,21.1720,21.1150,2018-12-03,21.3720,21.3150
84,21.0450,21.0390,2018-11-30,21.2450,21.2390
85,21.1050,21.0110,2018-11-29,21.3050,21.2110
86,20.9100,20.8710,2018-11-28,21.1100,21.0710
87,20.8480,20.8130,2018-11-27,21.0480,21.0130
88,20.8990,20.8160,2018-11-26,21.0990,21.0160
89,20.9460,20.9290,2018-11-23,21.1460,21.1290
90,20.8910,20.9790,2018-11-22,21.0910,21.1790
91,20.9620,20.9060,2018-11-21,21.1620,21.1060
