,date,buyStart,buyEnd,sellStart,sellEnd
0,2019-04-09,0.9532,0.9528,0.9932,0.9928
1,2019-04-08,0.9505,0.9499,0.9905,0.9899
2,2019-04-03,0.9555,0.9566,0.9955,0.9966
3,2019-04-02,0.9564,0.9560,0.9964,0.9960
4,2019-04-01,0.9572,0.9550,0.9972,0.9950
5,2019-03-29,0.9548,0.9540,0.9948,0.9940
6,2019-03-28,0.9524,0.9532,0.9924,0.9932
7,2019-03-27,0.9588,0.9564,0.9988,0.9964
8,2019-03-26,0.9623,0.9595,1.0023,0.9995
9,2019-03-25,0.9596,0.9604,0.9996,1.0004
10,2019-03-22,0.9563,0.9572,0.9963,0.9972
11,2019-03-21,0.9575,0.9581,0.9975,0.9981
12,2019-03-20,0.9578,0.9552,0.9978,0.9952
13,2019-03-19,0.9584,0.9584,0.9984,0.9984
14,2019-03-18,0.9594,0.9587,0.9994,0.9987
15,2019-03-15,0.9573,0.9594,0.9973,0.9994
16,2019-03-14,0.9625,0.9595,1.0025,0.9995
17,2019-03-13,0.9610,0.9615,1.0010,1.0015
18,2019-03-12,0.9602,0.9600,1.0002,1.0000
19,2019-03-11,0.9585,0.9608,0.9985,1.0008
20,2019-03-08,0.9547,0.9562,0.9947,0.9962
21,2019-03-07,0.9531,0.9514,0.9931,0.9914
22,2019-03-06,0.9564,0.9528,0.9964,0.9928
23,2019-03-05,0.9527,0.9537,0.9927,0.9937
24,2019-03-04,0.9549,0.9540,0.9949,0.9940
25,2019-02-27,0.9681,0.9652,1.0081,1.0052
26,2019-02-26,0.9699,0.9684,1.0099,1.0084
27,2019-02-25,0.9695,0.9685,1.0095,1.0085
28,2019-02-23,0.9688,0.9687,1.0088,1.0087
29,2019-02-22,0.9718,0.9700,1.0118,1.0100
30,2019-02-21,0.9760,0.9740,1.0160,1.0140
31,2019-02-20,0.9743,0.9771,1.0143,1.0171
32,2019-02-19,0.9718,0.9723,1.0118,1.0123
33,2019-02-18,0.9721,0.9716,1.0121,1.0116
34,2019-02-15,0.9698,0.9712,1.0098,1.0112
35,2019-02-14,0.9666,0.9684,1.0066,1.0084
36,2019-02-13,0.9703,0.9698,1.0103,1.0098
37,2019-02-12,0.9660,0.9688,1.0060,1.0088
38,2019-02-11,0.9667,0.9658,1.0067,1.0058
39,2019-02-01,0.9672,0.9661,1.0072,1.0061
40,2019-01-31,0.9683,0.9686,1.0083,1.0086
41,2019-01-30,0.9643,0.9640,1.0043,1.0040
42,2019-01-29,0.9614,0.9621,1.0014,1.0021
43,2019-01-28,0.9624,0.9607,1.0024,1.0007
44,2019-01-25,0.9593,0.9581,0.9993,0.9981
45,2019-01-24,0.9601,0.9577,1.0001,0.9977
46,2019-01-23,0.9571,0.9572,0.9971,0.9972
47,2019-01-22,0.9560,0.9553,0.9960,0.9953
48,2019-01-21,0.9575,0.9565,0.9975,0.9965
49,2019-01-19,0.9565,0.9562,0.9965,0.9962
50,2019-01-18,0.9574,0.9582,0.9974,0.9982
51,2019-01-17,0.9585,0.9574,0.9985,0.9974
52,2019-01-16,0.9513,0.9564,0.9913,0.9964
53,2019-01-15,0.9516,0.9514,0.9916,0.9914
54,2019-01-14,0.9494,0.9497,0.9894,0.9897
55,2019-01-11,0.9492,0.9501,0.9892,0.9901
56,2019-01-10,0.9481,0.9489,0.9881,0.9889
57,2019-01-09,0.9471,0.9472,0.9871,0.9872
58,2019-01-08,0.9484,0.9456,0.9884,0.9856
59,2019-01-07,0.9496,0.9484,0.9896,0.9884
60,2019-01-04,0.9466,0.9485,0.9866,0.9885
61,2019-01-03,0.9399,0.9453,0.9799,0.9853
62,2019-01-02,0.9322,0.9379,0.9722,0.9779
63,2018-12-28,0.9324,0.9332,0.9724,0.9732
64,2018-12-27,0.9311,0.9299,0.9711,0.9699
65,2018-12-26,0.9310,0.9316,0.9710,0.9716
66,2018-12-25,0.9336,0.9303,0.9736,0.9703
67,2018-12-24,0.9301,0.9307,0.9701,0.9707
68,2018-12-22,0.9286,0.9292,0.9686,0.9692
69,2018-12-21,0.9290,0.9283,0.9690,0.9683
70,2018-12-20,0.9266,0.9268,0.9666,0.9668
71,2018-12-19,0.9271,0.9264,0.9671,0.9664
72,2018-12-18,0.9267,0.9272,0.9667,0.9672
73,2018-12-17,0.9260,0.9263,0.9660,0.9663
74,2018-12-14,0.9276,0.9258,0.9676,0.9658
75,2018-12-13,0.9269,0.9289,0.9669,0.9689
76,2018-12-12,0.9262,0.9268,0.9662,0.9668
77,2018-12-11,0.9248,0.9263,0.9648,0.9663
78,2018-12-10,0.9253,0.9256,0.9653,0.9656
79,2018-12-07,0.9243,0.9241,0.9643,0.9641
80,2018-12-06,0.9256,0.9251,0.9656,0.9651
81,2018-12-05,0.9232,0.9256,0.9632,0.9656
82,2018-12-04,0.9236,0.9229,0.9636,0.9629
83,2018-12-03,0.9215,0.9229,0.9615,0.9629
84,2018-11-30,0.9207,0.9219,0.9607,0.9619
85,2018-11-29,0.9229,0.9213,0.9629,0.9613
86,2018-11-28,0.9194,0.9201,0.9594,0.9601
87,2018-11-27,0.9202,0.9203,0.9602,0.9603
88,2018-11-26,0.9198,0.9206,0.9598,0.9606
89,2018-11-23,0.9211,0.9210,0.9611,0.9610
90,2018-11-22,0.9241,0.9214,0.9641,0.9614
91,2018-11-21,0.9223,0.9217,0.9623,0.9617
92,2018-11-20,0.9233,0.9232,0.9633,0.9632
93,2018-11-19,0.9232,0.9227,0.9632,0.9627
94,2018-11-16,0.9210,0.9206,0.9610,0.9606
95,2018-11-15,0.9238,0.9222,0.9638,0.9622
96,2018-11-14,0.9225,0.9229,0.9625,0.9629
97,2018-11-13,0.9187,0.9209,0.9587,0.9609
98,2018-11-12,0.9163,0.9164,0.9563,0.9564
99,2018-11-09,0.9163,0.9181,0.9563,0.9581
100,2018-11-08,0.9196,0.9198,0.9596,0.9598
101,2018-11-07,0.9197,0.9206,0.9597,0.9606
102,2018-11-06,0.9183,0.9187,0.9583,0.9587
103,2018-11-05,0.9220,0.9180,0.9620,0.9580
104,2018-11-02,0.9206,0.9195,0.9606,0.9595
105,2018-11-01,0.9205,0.9219,0.9605,0.9619
106,2018-10-31,0.9157,0.9181,0.9557,0.9581
107,2018-10-30,0.9160,0.9163,0.9560,0.9563
108,2018-10-29,0.9219,0.9184,0.9619,0.9584
109,2018-10-26,0.9250,0.9234,0.9650,0.9634
110,2018-10-25,0.9265,0.9258,0.9665,0.9658
111,2018-10-24,0.9283,0.9261,0.9683,0.9661
112,2018-10-23,0.9271,0.9279,0.9671,0.9679
113,2018-10-22,0.9345,0.9293,0.9745,0.9693
114,2018-10-19,0.9342,0.9343,0.9742,0.9743
115,2018-10-18,0.9332,0.9341,0.9732,0.9741
116,2018-10-17,0.9334,0.9339,0.9734,0.9739
117,2018-10-16,0.9315,0.9321,0.9715,0.9721
118,2018-10-15,0.9283,0.9303,0.9683,0.9703
119,2018-10-12,0.9350,0.9280,0.9750,0.9680
120,2018-10-11,0.9262,0.9322,0.9662,0.9722
121,2018-10-09,0.9252,0.9236,0.9652,0.9636
122,2018-10-08,0.9243,0.9218,0.9643,0.9618
123,2018-10-05,0.9253,0.9235,0.9653,0.9635
124,2018-10-04,0.9277,0.9295,0.9677,0.9695
125,2018-10-03,0.9327,0.9332,0.9727,0.9732
126,2018-10-02,0.9306,0.9329,0.9706,0.9729
127,2018-10-01,0.9301,0.9319,0.9701,0.9719
128,2018-09-28,0.9284,0.9289,0.9684,0.9689
129,2018-09-27,0.9307,0.9287,0.9707,0.9687
130,2018-09-26,0.9311,0.9310,0.9711,0.9710
131,2018-09-25,0.9315,0.9298,0.9715,0.9698
132,2018-09-21,0.9350,0.9326,0.9750,0.9726
133,2018-09-20,0.9354,0.9362,0.9754,0.9762
134,2018-09-19,0.9299,0.9339,0.9699,0.9739
135,2018-09-18,0.9283,0.9303,0.9683,0.9703
136,2018-09-17,0.9263,0.9284,0.9663,0.9684
137,2018-09-14,0.9297,0.9297,0.9697,0.9697
138,2018-09-13,0.9268,0.9275,0.9668,0.9675
139,2018-09-12,0.9253,0.9247,0.9653,0.9647
140,2018-09-11,0.9239,0.9243,0.9639,0.9643
141,2018-09-10,0.9224,0.9232,0.9624,0.9632
142,2018-09-07,0.9241,0.9231,0.9641,0.9631
143,2018-09-06,0.9239,0.9238,0.9639,0.9638
144,2018-09-05,0.9220,0.9229,0.9620,0.9629
145,2018-09-04,0.9233,0.9234,0.9633,0.9634
146,2018-09-03,0.9224,0.9237,0.9624,0.9637
147,2018-08-31,0.9227,0.9249,0.9627,0.9649
148,2018-08-30,0.9239,0.9231,0.9639,0.9631
149,2018-08-29,0.9270,0.9228,0.9670,0.9628
150,2018-08-28,0.9292,0.9278,0.9692,0.9678
151,2018-08-27,0.9255,0.9292,0.9655,0.9692
152,2018-08-24,0.9223,0.9243,0.9623,0.9643
153,2018-08-23,0.9222,0.9232,0.9622,0.9632
154,2018-08-22,0.9250,0.9222,0.9650,0.9622
155,2018-08-21,0.9193,0.9230,0.9593,0.9630
156,2018-08-20,0.9116,0.9159,0.9516,0.9559
157,2018-08-17,0.9131,0.9125,0.9531,0.9525
158,2018-08-16,0.9108,0.9120,0.9508,0.9520
159,2018-08-15,0.9096,0.9102,0.9496,0.9502
160,2018-08-14,0.9079,0.9112,0.9479,0.9512
161,2018-08-13,0.9071,0.9080,0.9471,0.9480
162,2018-08-10,0.9072,0.9073,0.9472,0.9473
163,2018-08-09,0.9073,0.9074,0.9473,0.9474
164,2018-08-08,0.9054,0.9063,0.9454,0.9463
165,2018-08-07,0.9035,0.9049,0.9435,0.9449
166,2018-08-06,0.9069,0.9047,0.9469,0.9447
167,2018-08-03,0.9065,0.9052,0.9465,0.9452
168,2018-08-02,0.9085,0.9082,0.9485,0.9482
169,2018-08-01,0.9058,0.9073,0.9458,0.9473
170,2018-07-31,0.9023,0.9048,0.9423,0.9448
171,2018-07-30,0.9019,0.9018,0.9419,0.9418
172,2018-07-27,0.8979,0.9003,0.9379,0.9403
173,2018-07-26,0.9044,0.9025,0.9444,0.9425
174,2018-07-25,0.9047,0.9030,0.9447,0.9430
175,2018-07-24,0.9015,0.9031,0.9415,0.9431
176,2018-07-23,0.9042,0.9032,0.9442,0.9432
177,2018-07-20,0.9022,0.9039,0.9422,0.9439
178,2018-07-19,0.9026,0.9010,0.9426,0.9410
179,2018-07-18,0.9016,0.9014,0.9416,0.9414
180,2018-07-17,0.9035,0.9025,0.9435,0.9425
181,2018-07-16,0.9030,0.9036,0.9430,0.9436
182,2018-07-13,0.9040,0.9019,0.9440,0.9419
183,2018-07-12,0.9019,0.9027,0.9419,0.9427
184,2018-07-11,0.9021,0.9005,0.9421,0.9405
185,2018-07-10,0.9034,0.9023,0.9434,0.9423
186,2018-07-09,0.9038,0.9021,0.9438,0.9421
187,2018-07-06,0.9047,0.9041,0.9447,0.9441
188,2018-07-05,0.9043,0.9042,0.9443,0.9442
189,2018-07-04,0.9072,0.9056,0.9472,0.9456
190,2018-07-03,0.9050,0.9071,0.9450,0.9471
191,2018-07-02,0.9077,0.9059,0.9477,0.9459
192,2018-06-29,0.9062,0.9041,0.9462,0.9441
193,2018-06-28,0.9085,0.9095,0.9485,0.9495
194,2018-06-27,0.9067,0.9079,0.9467,0.9479
195,2018-06-26,0.9077,0.9067,0.9477,0.9467
196,2018-06-25,0.9058,0.9076,0.9458,0.9476
197,2018-06-22,0.9060,0.9046,0.9460,0.9446
198,2018-06-21,0.9037,0.9045,0.9437,0.9445
199,2018-06-20,0.9077,0.9029,0.9477,0.9429
200,2018-06-19,0.9056,0.9055,0.9456,0.9455
201,2018-06-15,0.9131,0.9097,0.9531,0.9497
202,2018-06-14,0.9148,0.9161,0.9548,0.9561
203,2018-06-13,0.9154,0.9137,0.9554,0.9537
204,2018-06-12,0.9155,0.9151,0.9555,0.9551
205,2018-06-11,0.9155,0.9153,0.9555,0.9553
206,2018-06-08,0.9147,0.9147,0.9547,0.9547
207,2018-06-07,0.9162,0.9151,0.9562,0.9551
208,2018-06-06,0.9182,0.9177,0.9582,0.9577
209,2018-06-05,0.9158,0.9186,0.9558,0.9586
210,2018-06-04,0.9170,0.9162,0.9570,0.9562
211,2018-06-01,0.9196,0.9174,0.9596,0.9574
212,2018-05-31,0.9218,0.9214,0.9618,0.9614
213,2018-05-30,0.9209,0.9208,0.9609,0.9608
214,2018-05-29,0.9193,0.9191,0.9593,0.9591
215,2018-05-28,0.9233,0.9204,0.9633,0.9604
216,2018-05-25,0.9191,0.9224,0.9591,0.9624
217,2018-05-24,0.9178,0.9171,0.9578,0.9571
218,2018-05-23,0.9182,0.9169,0.9582,0.9569
219,2018-05-22,0.9173,0.9185,0.9573,0.9585
220,2018-05-21,0.9152,0.9139,0.9552,0.9539
221,2018-05-18,0.9167,0.9153,0.9567,0.9553
222,2018-05-17,0.9176,0.9168,0.9576,0.9568
223,2018-05-16,0.9159,0.9165,0.9559,0.9565
224,2018-05-15,0.9185,0.9199,0.9585,0.9599
225,2018-05-14,0.9192,0.9205,0.9592,0.9605
226,2018-05-11,0.9163,0.9169,0.9563,0.9569
227,2018-05-10,0.9139,0.9158,0.9539,0.9558
228,2018-05-09,0.9163,0.9168,0.9563,0.9568
229,2018-05-08,0.9209,0.9185,0.9609,0.9585
230,2018-05-07,0.9205,0.9194,0.9605,0.9594
231,2018-05-04,0.9238,0.9226,0.9638,0.9626
232,2018-05-03,0.9236,0.9234,0.9636,0.9634
233,2018-05-02,0.9194,0.9237,0.9594,0.9637
234,2018-04-30,0.9242,0.9239,0.9642,0.9639
235,2018-04-27,0.9238,0.9220,0.9638,0.9620
236,2018-04-26,0.9258,0.9251,0.9658,0.9651
237,2018-04-25,0.9253,0.9246,0.9653,0.9646
238,2018-04-24,0.9233,0.9256,0.9633,0.9656
239,2018-04-23,0.9235,0.9226,0.9635,0.9626
240,2018-04-20,0.9250,0.9249,0.9650,0.9649
241,2018-04-19,0.9240,0.9245,0.9640,0.9645
242,2018-04-18,0.9257,0.9245,0.9657,0.9645
243,2018-04-17,0.9276,0.9255,0.9676,0.9655
244,2018-04-16,0.9246,0.9271,0.9646,0.9671
245,2018-04-13,0.9227,0.9255,0.9627,0.9655
246,2018-04-12,0.9231,0.9233,0.9631,0.9633
247,2018-04-11,0.9200,0.9215,0.9600,0.9615
248,2018-04-10,0.9201,0.9195,0.9601,0.9595
249,2018-04-09,0.9215,0.9188,0.9615,0.9588
250,2018-04-03,0.9185,0.9193,0.9585,0.9593
251,2018-04-02,0.9181,0.9199,0.9581,0.9599
252,2018-03-31,0.9180,0.9184,0.9580,0.9584
253,2018-03-30,0.9179,0.9177,0.9579,0.9577
254,2018-03-29,0.9178,0.9181,0.9578,0.9581
255,2018-03-28,0.9188,0.9190,0.9588,0.9590
256,2018-03-27,0.9204,0.9199,0.9604,0.9599
257,2018-03-26,0.9204,0.9198,0.9604,0.9598
258,2018-03-23,0.9194,0.9191,0.9594,0.9591
259,2018-03-22,0.9200,0.9185,0.9600,0.9585
260,2018-03-21,0.9197,0.9194,0.9597,0.9594
261,2018-03-20,0.9207,0.9200,0.9607,0.9600
262,2018-03-19,0.9206,0.9200,0.9606,0.9600
263,2018-03-16,0.9205,0.9200,0.9605,0.9600
264,2018-03-15,0.9240,0.9219,0.9640,0.9619
265,2018-03-14,0.9218,0.9240,0.9618,0.9640
266,2018-03-13,0.9203,0.9201,0.9603,0.9601
267,2018-03-12,0.9187,0.9200,0.9587,0.9600
268,2018-03-09,0.9182,0.9188,0.9582,0.9588
269,2018-03-08,0.9192,0.9197,0.9592,0.9597
270,2018-03-07,0.9181,0.9183,0.9581,0.9583
271,2018-03-06,0.9167,0.9172,0.9567,0.9572
272,2018-03-05,0.9170,0.9160,0.9570,0.9560
273,2018-03-02,0.9168,0.9153,0.9568,0.9553
274,2018-03-01,0.9147,0.9146,0.9547,0.9546
