,date,buyStart,buyEnd,sellStart,sellEnd
0,2019-04-10,30.5300,30.5410,31.1000,31.1110
1,2019-04-09,30.5270,30.5360,31.0970,31.1060
2,2019-04-08,30.5300,30.5400,31.1000,31.1100
3,2019-04-03,30.5050,30.5100,31.0750,31.0800
4,2019-04-02,30.4950,30.5390,31.0650,31.1090
5,2019-04-01,30.5030,30.4900,31.0730,31.0600
6,2019-03-29,30.5390,30.5160,31.1090,31.0860
7,2019-03-28,30.5580,30.5470,31.1280,31.1170
8,2019-03-27,30.5310,30.5540,31.1010,31.1240
9,2019-03-26,30.5150,30.5220,31.0850,31.0920
10,2019-03-25,30.5550,30.5230,31.1250,31.0930
11,2019-03-22,30.4990,30.4990,31.0690,31.0690
12,2019-03-21,30.4620,30.5080,31.0320,31.0780
13,2019-03-20,30.5190,30.5220,31.0890,31.0920
14,2019-03-19,30.5200,30.5310,31.0900,31.1010
15,2019-03-18,30.5700,30.5280,31.1400,31.0980
16,2019-03-15,30.5900,30.5690,31.1600,31.1390
17,2019-03-14,30.5900,30.5910,31.1600,31.1610
18,2019-03-13,30.5830,30.5980,31.1530,31.1680
19,2019-03-12,30.5770,30.6000,31.1470,31.1700
20,2019-03-11,30.5900,30.6040,31.1600,31.1740
21,2019-03-08,30.5870,30.5940,31.1570,31.1640
22,2019-03-07,30.5350,30.5660,31.1050,31.1360
23,2019-03-06,30.5340,30.5380,31.1040,31.1080
24,2019-03-05,30.5320,30.5450,31.1020,31.1150
25,2019-03-04,30.5050,30.5240,31.0750,31.0940
26,2019-02-27,30.4800,30.4700,31.0500,31.0400
27,2019-02-26,30.4790,30.4760,31.0490,31.0460
28,2019-02-25,30.4970,30.4860,31.0670,31.0560
29,2019-02-23,30.5150,30.5100,31.0850,31.0800
30,2019-02-22,30.5170,30.5180,31.0870,31.0880
31,2019-02-21,30.5300,30.5280,31.1000,31.0980
32,2019-02-20,30.5070,30.5230,31.0770,31.0930
33,2019-02-19,30.5320,30.5380,31.1020,31.1080
34,2019-02-18,30.5170,30.5420,31.0870,31.1120
35,2019-02-15,30.5350,30.5380,31.1050,31.1080
36,2019-02-14,30.5300,30.5260,31.1000,31.0960
37,2019-02-13,30.5000,30.5250,31.0700,31.0950
38,2019-02-12,30.5240,30.5230,31.0940,31.0930
39,2019-02-11,30.4970,30.5060,31.0670,31.0760
40,2019-02-01,30.4250,30.4280,30.9950,30.9980
41,2019-01-31,30.4270,30.4230,30.9970,30.9930
42,2019-01-30,30.4970,30.4570,31.0670,31.0270
43,2019-01-29,30.5050,30.5080,31.0750,31.0780
44,2019-01-28,30.4670,30.4850,31.0370,31.0550
45,2019-01-25,30.5670,30.5180,31.1370,31.0880
