,date,buyStart,buyEnd,sellStart,sellEnd
0,2019-04-10,30.7800,30.7910,30.8800,30.8910
1,2019-04-09,30.7770,30.7860,30.8770,30.8860
2,2019-04-08,30.7800,30.7900,30.8800,30.8900
3,2019-04-03,30.7550,30.7600,30.8550,30.8600
4,2019-04-02,30.7450,30.7890,30.8450,30.8890
5,2019-04-01,30.7530,30.7400,30.8530,30.8400
6,2019-03-29,30.7890,30.7660,30.8890,30.8660
7,2019-03-28,30.8080,30.7970,30.9080,30.8970
8,2019-03-27,30.7810,30.8040,30.8810,30.9040
9,2019-03-26,30.7650,30.7720,30.8650,30.8720
10,2019-03-25,30.8050,30.7730,30.9050,30.8730
11,2019-03-22,30.7490,30.7490,30.8490,30.8490
12,2019-03-21,30.7120,30.7580,30.8120,30.8580
13,2019-03-20,30.7690,30.7720,30.8690,30.8720
14,2019-03-19,30.7700,30.7810,30.8700,30.8810
15,2019-03-18,30.8200,30.7780,30.9200,30.8780
16,2019-03-15,30.8400,30.8190,30.9400,30.9190
17,2019-03-14,30.8400,30.8410,30.9400,30.9410
18,2019-03-13,30.8330,30.8480,30.9330,30.9480
19,2019-03-12,30.8270,30.8500,30.9270,30.9500
20,2019-03-11,30.8400,30.8540,30.9400,30.9540
21,2019-03-08,30.8370,30.8440,30.9370,30.9440
22,2019-03-07,30.7850,30.8160,30.8850,30.9160
23,2019-03-06,30.7840,30.7880,30.8840,30.8880
24,2019-03-05,30.7820,30.7950,30.8820,30.8950
25,2019-03-04,30.7550,30.7740,30.8550,30.8740
26,2019-02-27,30.7300,30.7200,30.8300,30.8200
27,2019-02-26,30.7290,30.7260,30.8290,30.8260
28,2019-02-25,30.7470,30.7360,30.8470,30.8360
29,2019-02-23,30.7650,30.7600,30.8650,30.8600
30,2019-02-22,30.7670,30.7680,30.8670,30.8680
31,2019-02-21,30.7800,30.7780,30.8800,30.8780
32,2019-02-20,30.7570,30.7730,30.8570,30.8730
33,2019-02-19,30.7820,30.7880,30.8820,30.8880
34,2019-02-18,30.7670,30.7920,30.8670,30.8920
35,2019-02-15,30.7850,30.7880,30.8850,30.8880
36,2019-02-14,30.7800,30.7760,30.8800,30.8760
37,2019-02-13,30.7500,30.7750,30.8500,30.8750
38,2019-02-12,30.7740,30.7730,30.8740,30.8730
39,2019-02-11,30.7470,30.7560,30.8470,30.8560
40,2019-02-01,30.6750,30.6780,30.7750,30.7780
41,2019-01-31,30.6770,30.6730,30.7770,30.7730
42,2019-01-30,30.7470,30.7070,30.8470,30.8070
43,2019-01-29,30.7550,30.7580,30.8550,30.8580
44,2019-01-28,30.7170,30.7350,30.8170,30.8350
45,2019-01-25,30.8170,30.7680,30.9170,30.8680
46,2019-01-24,30.8130,30.8340,30.9130,30.9340
47,2019-01-23,30.8350,30.8260,30.9350,30.9260
48,2019-01-22,30.8100,30.8280,30.9100,30.9280
49,2019-01-21,30.7990,30.7940,30.8990,30.8940
50,2019-01-19,30.7850,30.7860,30.8850,30.8860
51,2019-01-18,30.7840,30.7900,30.8840,30.8900
52,2019-01-17,30.7800,30.7950,30.8800,30.8950
53,2019-01-16,30.7850,30.7750,30.8850,30.8750
54,2019-01-15,30.7850,30.7600,30.8850,30.8600
